id	filename	md5	size	state
d8b114f5-f351-4cad-b6c5-56a70068d759	813fb89d-27bd-4996-9945-47f84bf5feac.wxs.muse.raw_somatic_mutation.vcf.gz	a7cb48a6676ab4835e5336f26aaed1fe	39006	released
9c66823a-f696-4522-b72f-3ceb1dd0c6d6	CPTAC-2.9cf1e3de-d37b-4b6d-9e5c-f23758d3a6d0.arriba.rna_fusion.tsv	f90512c338f0ac9ce4ff4676d127c92f	8519	released
01e5538d-b827-4be0-a2fb-fdc436853b7e	813fb89d-27bd-4996-9945-47f84bf5feac.wxs.mutect2.raw_somatic_mutation.vcf.gz	8e15ff7a387de3042daaa02c7050137c	1295270	released
46dd6d81-99e0-45e9-957a-f70d9aebf1b4	CPTAC_2.8df496a5-8010-4220-afa2-7dad6d0aa3d1.wxs.MuSE.somatic_annotation.vcf.gz	c660e1fa3d2b55300025e9733b2fe7c4	343829	released
dcd74380-d312-4183-bbab-d32d9260d125	813fb89d-27bd-4996-9945-47f84bf5feac.wxs.varscan2.raw_somatic_mutation.vcf.gz	e98fe3e9c564a73ae126b523b4d859b0	120934	released
2691f80b-6306-428c-9176-b03b8ac55298	4404be81-e539-42ec-a20b-5898795d76a3_wxs_gdc_realn.bam	e1d2a25e5f67af744ec9158256153b92	76348152280	released
ec86b1ad-be6d-4e15-8c53-82ae61084e6c	CPTAC-2.7f4f1596-b8a7-4c9a-bd90-b9b90fb66511.star_fusion.rna_fusion.bedpe	f6f416ad37d4419eb3dd22c462ab1e0e	898	released
7d0ebbb1-e989-41e3-8c7b-6b9710d3c8bb	24c2025c-4eed-4fd0-8b25-3843ef6a97e1.mirnaseq.isoforms.quantification.txt	8af023fff85e5629a88344ba998be00d	491603	released
0397d79e-c8dc-46c8-8a03-d1df0efbe90f	96033fcf-30bd-4c84-a145-7681d06e98c4.wxs.Pindel.aliquot.maf.gz	cca09fce1b2f0ea5d76f3e60270ad453	113686	released
12bc82d3-e3b6-41fa-9207-21676b16b256	CPTAC_2.32dc00d1-273e-403b-89af-c83455a688a3.wxs.Pindel.somatic_annotation.vcf.gz	9b07560a5ae0a5afb371da68cd6f42ef	167582	released
10b1c238-5af1-4850-90a2-5b95d632b2c7	93a935db-3152-4e9c-8fa8-f59630438448.rna_seq.augmented_star_gene_counts.tsv	fe149cc0bcedd584ca82360df085788b	4211684	released
d3bc559c-5a69-4252-ab44-5cf213eda555	79f4eae3-4a6d-424e-b10d-b09b0a3ec149.wxs.aliquot_ensemble_raw.maf.gz	c2ce909f66c66b0b1424ee4adadc86c9	302792	released
2267c79e-456a-463d-97c2-9e5da21f3598	CPTAC-2.9cf1e3de-d37b-4b6d-9e5c-f23758d3a6d0.arriba.rna_fusion.bedpe	019a451301c4138adde42c447327e3de	4168	released
3df8ec1d-7db6-4fc0-b57f-f30b1e8b9498	93a935db-3152-4e9c-8fa8-f59630438448.rna_seq.chimeric.gdc_realn.bam	5010c482a02944630feb86f94bb641cd	84914749	released
cb826c27-3854-4d8b-9e3b-0efb3b98e68a	93a935db-3152-4e9c-8fa8-f59630438448.rna_seq.genomic.gdc_realn.bam	ef5c9f9c5697742df80028e5d994a5d7	6283114411	released
70e5e0e7-4967-444c-b0d2-7cc8bb34960c	f2c24555-09ba-4d63-8100-f7c712ce4c5d.wxs.MuSE.aliquot.maf.gz	97b960e60d8b57b291871fefa33355d7	245155	released
81ffa331-f931-4526-8b21-4cc19854556f	93a935db-3152-4e9c-8fa8-f59630438448.rna_seq.star_splice_junctions.tsv.gz	e39480378a6b83ec76b2ed63bf07b6bb	3074446	released
5169b778-dfd3-4d40-941f-ef0ada9aaa1a	4fec1b9e-af64-4601-83f5-9834518036ce.wxs.MuTect2.aliquot.maf.gz	08ee8e86429736a55be7c61ffffb8569	7901446	released
ca7b0f34-875c-4426-a4cf-39f54d92bcfc	d6741ebd-f451-4969-9764-8f8dc9e77d9a_wxs_gdc_realn.bam	ae4af7fc040f57da516299d725f8d42f	74183303652	released
7ab31890-1ef0-4c63-acd1-e4236f9e7596	ce78459b-ad95-49de-b7db-0c07ed19d5ca_mirnaseq_gdc_realn.bam	d74caeeba15f7219dc69e85f96323dd4	81615332	released
9317a75f-5cd5-4919-b2e1-9927ad46c6d1	93a935db-3152-4e9c-8fa8-f59630438448.rna_seq.transcriptome.gdc_realn.bam	0f781a4018db8f448a2565ebf19ff6e6	6200531450	released
5eb1c236-bb0e-4193-b777-3f2fa26d16ed	2a8acdde-2f97-43ff-a5e6-8830293a0e79.wxs.VarScan2.aliquot.maf.gz	4095ae8505a7416ee5ee39ab715a42b0	757132	released
7543a2a3-74c9-4dae-b8bc-dca72b742866	79f4eae3-4a6d-424e-b10d-b09b0a3ec149.wxs.aliquot_ensemble_masked.maf.gz	a53296b6efd94ec4915b1c640f474b9f	71455	released
f8d790a7-e09d-42bd-b533-ef54e6ba5ed9	CPTAC-2.7f4f1596-b8a7-4c9a-bd90-b9b90fb66511.star_fusion.rna_fusion.tsv	ae7dde3a3fe55c8fb2ac0e0638fc2ae0	2512	released
e513fc0c-eef0-44fe-ba9a-bb7afa53709b	CPTAC_2.ced410d7-2f45-409a-8864-ae62ea5a0e07.wxs.MuTect2.somatic_annotation.vcf.gz	0b47f8135b487d202ef97438bc7047be	6839573	released
28c7fb87-9d6d-4fb7-aa36-53621980dba5	CPTAC_2.05ab61bf-0016-4cdd-9e5b-dffac72e8e32.wxs.VarScan2.somatic_annotation.vcf.gz	e4127054570d8973df8983b0eeaf44bd	1018042	released
43b4072f-03f9-43c5-b9cf-035cc032ef5b	CPTAC_2.b53f39e7-e2f5-4460-8cf7-4d50134d983d.wxs.VarScan2.somatic_annotation.vcf.gz	b7ea16a372eec5bf1d53a538cab23703	2475068	released
c04c5d60-dd48-4bd9-81ae-17021ec97a51	CPTAC_2.1e61a968-8c45-4857-8c28-fa2e665cf32f.wxs.MuTect2.somatic_annotation.vcf.gz	a0ff562c3892fe7fdd2a8fab18c16444	5935316	released
a0c3d250-4559-4f0d-9a30-090e6b00f743	25b20d3b-ae61-43f0-9620-4d44bd1043ea.wxs.aliquot_ensemble_masked.maf.gz	eeda328d59027d4975c281b667f967f8	1781	released
6e8437c8-d5d4-45f9-8c07-eb22ad19b83e	b7e3fbe6-1ece-4bbb-9d50-222daafe0e34.rna_seq.chimeric.gdc_realn.bam	d231b4ebefc9a11fa0e6ecffbaadb730	23651232	released
3366cca5-f61f-4ec3-9338-342c12397064	644d05e0-f194-4f08-a371-e5fa46d75b48.wxs.Pindel.aliquot.maf.gz	b85a25f3c5881040a988b6d8a898f5fe	168574	released
26187264-d1bc-43ea-a669-0aacf1148691	b55d8555-f9ae-403c-a356-2a044379be66.wxs.pindel.raw_somatic_mutation.vcf.gz	9e337b884cf52c53f65cab4c3bb5d262	43437	released
7a7f0fec-7afb-4b24-be4c-2f2a77889f00	70a85140-c54d-448c-b375-15ddabb3a3d5.wxs.varscan2.raw_somatic_mutation.vcf.gz	55cf09964abf6d6dd2e18a16624dea75	278552	released
c17b52f1-5d23-414a-b31d-773213fff598	CPTAC-2.2a9a98d2-14ec-4a2d-a16b-5efe7d317414.arriba.rna_fusion.tsv	4978ad17e6e86b9ada85f153a5133018	6467	released
f9cddd25-ea31-4938-aea0-c1dae2937062	b7e3fbe6-1ece-4bbb-9d50-222daafe0e34.rna_seq.augmented_star_gene_counts.tsv	d60fc095603d8d1fef4fa0ae74539633	4199901	released
ec40d11f-fc73-4f3f-a1c7-6fbdab839010	31c4cadd-dd2a-410b-a16c-2f293e81736c.wxs.MuTect2.aliquot.maf.gz	60a30efc1d3a046975b50d5ce8d0bb4c	6458924	released
0d1a9fa3-b487-4711-9422-065a4478ba6c	70a85140-c54d-448c-b375-15ddabb3a3d5.wxs.mutect2.raw_somatic_mutation.vcf.gz	90c8a4a66b03ddbbcd83c5f5cdc5d9d9	1120741	released
99c5a26e-ca82-4016-909d-82c85f25db4d	CPTAC-2.b642c9ea-f2d4-4ed3-acc6-dac5e8ae4275.star_fusion.rna_fusion.tsv	b1afeba0fb7f76577dd6942a72137537	234	released
16953309-cea8-41f4-8c8e-5849eadf1c2e	70a85140-c54d-448c-b375-15ddabb3a3d5.wxs.muse.raw_somatic_mutation.vcf.gz	72220ee9e894a04cff8b6f321d19095c	28681	released
f962a9f6-953c-4582-ba62-409bb6690caf	CPTAC_2.a36afc5a-590a-4577-a760-1b5ef5be549a.wxs.MuSE.somatic_annotation.vcf.gz	3a5c71fc28ee68563a7cca44b84b0b86	122893	released
d524ac3b-6545-4681-a1b8-6cd247c3f0d0	e4409e07-793c-4576-8d81-fbbfa5f9558a_wxs_gdc_realn.bam	19232ad8c7648dcf879294992b1082bd	89168404449	released
fdc92d4d-2e5a-452d-85aa-b9c7a97edf19	abac81ba-b042-45bd-bf2b-15ef74f881fa_wxs_gdc_realn.bam	8a3a5c83b81f98e539dfb702577d960b	67730439364	released
81217c4e-f39a-4dd0-b784-06f6f8b829b2	CPTAC-2.b642c9ea-f2d4-4ed3-acc6-dac5e8ae4275.star_fusion.rna_fusion.bedpe	6e5690795ff424264402ab9d2661b62b	229	released
a0b79fde-ef64-4b25-bd46-0f13c1e33e6b	8228a866-6e1f-48ee-a395-d7a508c73abb.wxs.VarScan2.aliquot.maf.gz	4ec92f5ea242bc5d12c2e9e69af60edc	1795482	released
22be9bed-1cfd-4aa9-a611-cb5d7588123b	2e583c6d-fd0d-4510-8c38-402fb797c20d.wxs.MuSE.aliquot.maf.gz	11d1b6c4b615d1f2e3d3112b81106e9d	101190	released
63d462b4-2381-461f-9224-5c04d4aa033f	4f34e576-860a-4366-a64b-82433ebe0aaf.mirnaseq.isoforms.quantification.txt	2959419e0f9105b690ec4bc745926d2c	454649	released
4dfa9975-9f07-4255-9501-617757e4dd8a	b7e3fbe6-1ece-4bbb-9d50-222daafe0e34.rna_seq.transcriptome.gdc_realn.bam	f77af22a41cf6c253fe60eb98c558330	8473733827	released
