Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Splice_Site,Translation_Start_Site,Total_Silenced
PCDH19,0,0,0,0,4,0,0,0,0,4
PIEZO2,1,0,0,0,3,0,0,0,0,4
ALPK2,0,0,0,0,4,0,0,0,0,4
PKD1L1,0,1,0,0,3,0,0,0,0,4
PLCE1,0,0,0,0,4,0,0,0,0,4
PLXNA2,0,0,0,0,4,0,0,0,0,4
PLXNA4,0,0,0,0,3,1,0,0,0,4
SEMA5A,0,0,0,0,4,0,0,0,0,4
TNRC6C,0,0,0,0,3,1,0,0,0,4
ST18,0,0,0,0,3,0,1,0,0,4
SPTBN5,0,0,0,0,4,0,0,0,0,4
SLC25A47,0,0,1,0,3,0,0,0,0,4
SLCO1C1,0,0,0,0,4,0,0,0,0,4
RUNX1T1,0,0,0,0,4,0,0,0,0,4
TNR,0,0,0,0,3,1,0,0,0,4
TBX18,0,0,0,0,4,0,0,0,0,4
TENM3,0,0,0,0,4,0,0,0,0,4
TLE4,0,0,0,0,4,0,0,0,0,4
THSD7B,0,0,0,0,4,0,0,0,0,4
APOB,0,0,1,0,3,0,0,0,0,4
APBA1,0,0,0,0,3,1,0,0,0,4
TMEM132E,0,0,0,0,4,0,0,0,0,4
TMEM132C,0,0,0,0,4,0,0,0,0,4
TLN2,0,0,0,0,4,0,0,0,0,4
FREM1,0,0,0,0,4,0,0,0,0,4
FLG,0,0,0,0,3,0,0,0,0,3
ADAM21,0,0,0,0,3,0,0,0,0,3
ADAM22,0,0,0,0,2,1,0,0,0,3
ZNF385D,0,0,0,0,2,1,0,0,0,3
ZKSCAN2,0,0,0,0,3,0,0,0,0,3
ZNF541,0,0,0,0,2,0,1,0,0,3
GALNT5,0,0,0,0,3,0,0,0,0,3
FANCM,0,0,0,0,3,0,0,0,0,3
GCSAML,0,0,0,0,3,0,0,0,0,3
GDF10,0,0,0,0,3,0,0,0,0,3
FAM228A,0,0,0,0,3,0,0,0,0,3
GPR158,0,0,0,0,2,1,0,0,0,3
GPR179,0,0,0,0,3,0,0,0,0,3
GPR64,0,0,0,0,3,0,0,0,0,3
EYA2,0,0,0,0,3,0,0,0,0,3
GREB1L,0,0,1,0,2,0,0,0,0,3
GRIA2,0,0,0,0,3,0,0,0,0,3
GRM1,0,0,0,0,3,0,0,0,0,3
GRM5,0,0,0,0,2,1,0,0,0,3
GRM8,0,0,0,0,3,0,0,0,0,3
GUCY1A2,0,0,0,0,2,1,0,0,0,3
TNFSF9,0,0,0,0,3,0,0,0,0,3
TNN,0,0,0,0,2,1,0,0,0,3
GYG2,0,0,0,0,2,0,0,1,0,3
HECW1,0,0,0,0,2,1,0,0,0,3
ADAMTS16,0,0,0,0,3,0,0,0,0,3
ADAMTS17,0,0,0,0,3,0,0,0,0,3
ADAMTS19,0,0,0,0,3,0,0,0,0,3
ZBTB49,0,0,0,0,3,0,0,0,0,3
IQSEC3,0,0,0,0,3,0,0,0,0,3
JPH2,0,0,0,0,3,0,0,0,0,3
DSCAM,0,0,0,0,3,0,0,0,0,3
KCNH1,0,0,0,0,3,0,0,0,0,3
KCNH4,0,0,0,0,3,0,0,0,0,3
KIAA1211,0,0,0,0,3,0,0,0,0,3
KIAA1244,0,0,0,0,3,0,0,0,0,3
DPEP3,0,0,0,0,3,0,0,0,0,3
DPYSL5,0,0,0,0,3,0,0,0,0,3
KIAA1958,0,0,0,0,2,1,0,0,0,3
KIAA2022,0,0,0,0,3,0,0,0,0,3
TECTA,0,0,0,0,3,0,0,0,0,3
TENM1,0,0,0,0,3,0,0,0,0,3
ARRDC5,0,0,0,0,3,0,0,0,0,3
ADARB2,0,0,0,0,3,0,0,0,0,3
ADCY2,0,0,0,0,3,0,0,0,0,3
XIRP1,0,0,0,0,3,0,0,0,0,3
DNAH8,0,0,0,0,2,1,0,0,0,3
KIRREL3,0,0,1,0,1,0,0,1,0,3
KIT,0,0,0,0,3,0,0,0,0,3
KL,0,0,0,0,3,0,0,0,0,3
KLHL4,0,0,0,0,3,0,0,0,0,3
DMBT1,0,0,0,0,3,0,0,0,0,3
DMD,0,0,0,0,3,0,0,0,0,3
STX11,0,0,0,0,3,0,0,0,0,3
TCHH,0,0,0,0,3,0,0,0,0,3
ASXL3,0,0,0,0,1,1,0,1,0,3
TCTE1,0,0,0,0,3,0,0,0,0,3
DNAH10,0,0,0,0,2,0,0,1,0,3
LEFTY1,0,0,0,0,3,0,0,0,0,3
DISP2,0,0,0,0,3,0,0,0,0,3
LGI4,0,0,0,0,3,0,0,0,0,3
LONRF3,0,0,0,0,3,0,0,0,0,3
DENND2A,0,0,0,0,2,1,0,0,0,3
DENND5B,0,0,0,0,3,0,0,0,0,3
LPHN3,0,0,0,0,3,0,0,0,0,3
DCAF8L2,0,0,0,0,3,0,0,0,0,3
DCC,0,0,0,0,2,1,0,0,0,3
DDC,0,0,0,0,3,0,0,0,0,3
DAB1,0,0,0,0,3,0,0,0,0,3
MAP1A,0,0,0,0,3,0,0,0,0,3
SRGAP1,0,0,0,0,3,0,0,0,0,3
SSC5D,0,0,0,0,3,0,0,0,0,3
STK33,0,0,0,0,3,0,0,0,0,3
ATP1A2,0,0,0,0,2,0,0,1,0,3
ATP2B2,0,0,0,0,3,0,0,0,0,3
ATP4A,0,0,0,0,3,0,0,0,0,3
MCIDAS,0,0,0,0,3,0,0,0,0,3
MID1,0,0,0,0,3,0,0,0,0,3
MN1,0,0,0,0,3,0,0,0,0,3
MOV10L1,0,0,0,0,3,0,0,0,0,3
CUX2,0,0,0,0,3,0,0,0,0,3
WDR96,1,0,0,0,2,0,0,0,0,3
ADRA2C,0,0,0,0,3,0,0,0,0,3
AFF2,0,0,0,0,3,0,0,0,0,3
AFF3,0,0,0,0,2,1,0,0,0,3
AGT,0,0,0,0,3,0,0,0,0,3
AHDC1,0,0,0,0,3,0,0,0,0,3
AHNAK2,0,0,0,0,3,0,0,0,0,3
MUC12,0,0,0,0,3,0,0,0,0,3
SPEG,0,0,0,0,3,0,0,0,0,3
MUC17,0,0,0,0,3,0,0,0,0,3
CRB1,0,0,0,0,3,0,0,0,0,3
MYBPC1,0,0,0,0,2,0,0,1,0,3
MYCBPAP,0,0,0,0,3,0,0,0,0,3
MYO15A,0,0,0,0,2,1,0,0,0,3
MYO18B,0,0,0,0,3,0,0,0,0,3
MYO7A,0,0,0,0,2,1,0,0,0,3
MYOM1,0,0,0,0,3,0,0,0,0,3
MYRIP,0,0,0,0,3,0,0,0,0,3
NACAD,0,0,0,0,3,0,0,0,0,3
NAV3,1,1,0,0,1,0,0,0,0,3
COL19A1,0,0,0,0,3,0,0,0,0,3
UNC80,0,0,0,0,3,0,0,0,0,3
VWA3A,0,0,0,0,3,0,0,0,0,3
VWA3B,0,0,0,0,2,1,0,0,0,3
VWCE,0,0,0,0,3,0,0,0,0,3
NCAN,0,0,0,0,3,0,0,0,0,3
CNTN3,0,0,0,0,3,0,0,0,0,3
COL11A1,0,0,0,0,3,0,0,0,0,3
NEK10,0,0,0,0,3,0,0,0,0,3
NHS,0,0,1,0,2,0,0,0,0,3
NLGN1,0,0,0,0,3,0,0,0,0,3
NLGN4X,0,0,0,0,3,0,0,0,0,3
NLRP12,0,0,0,0,3,0,0,0,0,3
NLRP3,0,0,0,0,3,0,0,0,0,3
CNKSR2,0,0,0,0,2,1,0,0,0,3
NLRP7,0,0,0,0,3,0,0,0,0,3
NMUR1,1,0,0,0,2,0,0,0,0,3
BRINP1,0,0,0,0,3,0,0,0,0,3
