Tumor_Sample_Barcode,Group,Hugo_Symbol,Expression_FPKM
X11BR047,Low Silencing,HLAC,10.5531
X11BR049,Low Silencing,B2M,12.4144
X11BR049,Low Silencing,HLAA,10.0838
X11BR049,Low Silencing,HLAB,11.5772
X11BR049,Low Silencing,HLAC,11.5772
X11BR051,High Silencing,B2M,11.6236
X11BR051,High Silencing,HLAA,9.6849
X11BR051,High Silencing,HLAB,10.4948
X11BR051,High Silencing,HLAC,10.4948
X11BR054,Low Silencing,B2M,11.9923
X11BR054,Low Silencing,HLAA,10.3581
X11BR054,Low Silencing,HLAB,12.0632
X11BR054,Low Silencing,HLAC,12.0632
X11BR055,Low Silencing,B2M,11.0867
X11BR055,Low Silencing,HLAA,9.291
X11BR055,Low Silencing,HLAB,10.195
X11BR055,Low Silencing,HLAC,10.195
X11BR056,Low Silencing,B2M,11.5785
X11BR056,Low Silencing,HLAA,8.911
X11BR056,Low Silencing,HLAB,10.0501
X11BR056,Low Silencing,HLAC,10.0501
X11BR058,Low Silencing,B2M,10.9943
X11BR058,Low Silencing,HLAA,9.5149
X11BR058,Low Silencing,HLAB,9.9653
X11BR058,Low Silencing,HLAC,9.9653
X11BR059,Low Silencing,B2M,10.8388
X11BR059,Low Silencing,HLAA,8.7268
X11BR059,Low Silencing,HLAB,9.5894
X11BR059,Low Silencing,HLAC,9.5894
X11BR060,High Silencing,B2M,12.1447
X11BR060,High Silencing,HLAA,10.7252
X11BR060,High Silencing,HLAB,10.8828
X11BR060,High Silencing,HLAC,10.8828
X11BR073,High Silencing,B2M,11.624
X11BR073,High Silencing,HLAA,9.3296
X11BR073,High Silencing,HLAB,10.9295
X11BR073,High Silencing,HLAC,10.9295
X11BR074,Low Silencing,B2M,11.1534
X11BR074,Low Silencing,HLAA,10.168
X11BR074,Low Silencing,HLAB,10.6742
X11BR074,Low Silencing,HLAC,10.6742
X11BR075,Low Silencing,B2M,11.1071
X11BR075,Low Silencing,HLAA,8.8657
X11BR075,Low Silencing,HLAB,9.2412
X11BR075,Low Silencing,HLAC,9.2412
X14BR005,High Silencing,B2M,10.8896
X14BR005,High Silencing,HLAA,9.7022
X14BR005,High Silencing,HLAB,10.819
X14BR005,High Silencing,HLAC,10.819
X14BR008,Low Silencing,B2M,10.8495
X14BR008,Low Silencing,HLAA,9.0335
X14BR008,Low Silencing,HLAB,10.1589
X14BR008,Low Silencing,HLAC,10.1589
X14BR014,High Silencing,B2M,10.4755
X14BR014,High Silencing,HLAA,8.3373
X14BR014,High Silencing,HLAB,9.6385
X14BR014,High Silencing,HLAC,9.6385
X16BR012,Low Silencing,B2M,10.8788
X16BR012,Low Silencing,HLAA,9.2721
X16BR012,Low Silencing,HLAB,9.834
X16BR012,Low Silencing,HLAC,9.834
X18BR006,Low Silencing,B2M,11.2184
X18BR006,Low Silencing,HLAA,9.3479
X18BR006,Low Silencing,HLAB,10.4687
X18BR006,Low Silencing,HLAC,10.4687
X18BR007,High Silencing,B2M,11.3319
X18BR007,High Silencing,HLAA,9.1353
X18BR007,High Silencing,HLAB,10.3176
X18BR007,High Silencing,HLAC,10.3176
X18BR010,High Silencing,B2M,11.1255
X18BR010,High Silencing,HLAA,9.1765
X18BR010,High Silencing,HLAB,9.7997
X18BR010,High Silencing,HLAC,9.7997
X18BR016,Low Silencing,B2M,10.604
X18BR016,Low Silencing,HLAA,8.2523
X18BR016,Low Silencing,HLAB,10.0514
X18BR016,Low Silencing,HLAC,10.0514
X18BR017,High Silencing,B2M,10.9424
X18BR017,High Silencing,HLAA,8.4064
X18BR017,High Silencing,HLAB,9.9275
X18BR017,High Silencing,HLAC,9.9275
X20BR001,High Silencing,B2M,13.5994
X20BR001,High Silencing,HLAA,10.9234
X20BR001,High Silencing,HLAB,11.7742
X20BR001,High Silencing,HLAC,11.7742
X20BR007,High Silencing,B2M,11.9738
X20BR007,High Silencing,HLAA,8.8933
X20BR007,High Silencing,HLAB,9.2611
X20BR007,High Silencing,HLAC,9.2611
X20BR008,High Silencing,B2M,11.3555
X20BR008,High Silencing,HLAA,7.7674
X20BR008,High Silencing,HLAB,10.0216
X20BR008,High Silencing,HLAC,10.0216
X21BR002,Low Silencing,B2M,11.3296
X21BR002,Low Silencing,HLAA,10.458
X21BR002,Low Silencing,HLAB,11.2409
X21BR002,Low Silencing,HLAC,11.2409
X22BR005,High Silencing,B2M,11.558
X22BR005,High Silencing,HLAA,9.4643
X22BR005,High Silencing,HLAB,9.8465
X22BR005,High Silencing,HLAC,9.8465
X22BR006,Low Silencing,B2M,10.7277
X22BR006,Low Silencing,HLAA,9.0564
X22BR006,Low Silencing,HLAB,9.685
X22BR006,Low Silencing,HLAC,9.685
